winner,control_sw_remaining,control_vp_remaining,test_sw_remaining,test_vp_remaining,duration_rounds,duration_phases,control_actions_taken,control_attacks_taken,control_parries_taken,control_attacks_succeeded,control_parries_succeeded,control_ap_remaining,control_ap_spent,control_ap_spent_wound_checks,control_damage_rolls_count,control_damage_rolls_sum,control_damage_rolls_sumsquares,control_keep_lw_total_count,control_keep_lw_total_sum,control_keep_lw_total_sumsquares,control_sw,control_take_sw_total_count,control_take_sw_total_sum,control_take_sw_total_sumsquares,control_vp_spent,control_vp_spent_attacks,control_vp_spent_wound_checks,control_wc_failed,control_wc_failed_lw_total_count,control_wc_failed_lw_total_sum,control_wc_failed_lw_total_sumsquares,control_wc_failed_margin_count,control_wc_failed_margin_sum,control_wc_failed_margin_sumsquares,control_wc_succeeded,control_wc_succeeded_margin_count,control_wc_succeeded_margin_sum,control_wc_succeeded_margin_sumsquares,control_keep_lw_total_count,test_actions_taken,test_attacks_taken,test_parries_taken,test_attacks_succeeded,test_parries_succeeded,test_ap_remaining,test_ap_spent,test_ap_spent_wound_checks,test_damage_rolls_count,test_damage_rolls_sum,test_damage_rolls_sumsquares,test_keep_lw_total_count,test_keep_lw_total_sum,test_keep_lw_total_sumsquares,test_sw,test_take_sw_total_count,test_take_sw_total_sum,test_take_sw_total_sumsquares,test_vp_spent,test_vp_spent_attacks,test_vp_spent_wound_checks,test_wc_failed,test_wc_failed_lw_total_count,test_wc_failed_lw_total_sum,test_wc_failed_lw_total_sumsquares,test_wc_failed_margin_count,test_wc_failed_margin_sum,test_wc_failed_margin_sumsquares,test_wc_succeeded,test_wc_succeeded_margin_count,test_wc_succeeded_margin_sum,test_wc_succeeded_margin_sumsquares
-1,1,0,0,0,3,27,12,11,1,11,0,0,0,0,11,528,28744,4,95,2413,8,3,95,3901,3,2,1,0,0,0,0,0,0,0,7,7,204,6372,4,10,10,0,7,0,0,0,0,7,190,6314,4,119,3657,10,0,0,0,2,1,1,7,7,409,25087,7,183,6009,4,4,48,582
-1,2,0,-2,0,3,31,14,14,0,14,0,0,0,0,14,691,39153,3,76,1930,10,2,48,1250,3,3,0,1,1,48,2304,1,8,64,5,5,113,2857,3,12,11,1,6,0,0,0,0,6,172,5484,4,129,4167,9,0,0,0,2,1,1,10,10,562,34986,10,251,8395,4,4,25,195
-1,1,0,0,0,3,33,15,15,0,15,0,0,0,0,15,640,29790,1,24,576,8,3,102,3524,3,3,0,1,1,56,3136,1,12,144,4,4,91,2443,1,12,12,0,5,0,0,0,0,5,182,7236,5,169,5907,10,2,58,1684,2,2,0,8,8,413,22199,8,172,4256,7,7,55,635
1,0,0,1,0,3,31,15,14,1,14,0,0,0,0,14,641,33793,2,35,613,7,4,158,6682,3,3,0,0,0,0,0,0,0,0,6,6,114,3388,2,11,11,0,7,0,0,0,0,6,193,7295,3,101,3563,11,2,71,2533,2,2,0,9,9,469,27697,9,201,8167,5,5,46,582
1,0,0,2,0,3,33,13,12,1,12,0,0,0,0,12,577,31211,0,0,0,6,4,153,5885,3,3,0,1,1,56,3136,1,6,36,4,4,35,367,0,12,12,0,6,0,0,0,0,5,209,9021,3,119,4737,11,1,30,900,2,1,1,8,8,428,25574,8,163,5697,4,4,33,317
1,0,0,7,0,2,16,6,4,2,4,0,0,0,0,4,194,10542,0,0,0,1,2,87,3845,2,1,1,2,2,126,7946,2,33,549,2,2,38,724,0,6,6,0,5,0,0,0,0,4,213,11791,1,23,529,11,0,0,0,2,2,0,3,3,171,10013,3,82,2302,1,1,10,100
1,0,0,6,0,2,19,10,9,1,9,0,0,0,0,9,401,18543,4,88,2306,2,0,0,0,3,3,0,2,2,111,6221,2,16,128,4,4,116,3746,4,7,7,0,7,0,0,0,0,6,199,8527,2,86,3748,11,1,50,2500,2,1,1,6,6,265,12295,6,66,1148,3,3,41,701
-1,5,0,-1,0,3,27,13,13,0,13,0,0,0,0,13,557,26951,0,0,0,9,2,82,3650,3,2,1,1,1,64,4096,1,3,9,2,2,13,109,0,8,8,0,3,0,0,0,0,3,146,7746,5,159,5747,6,1,33,1089,2,2,0,7,7,365,20115,7,153,4505,6,6,69,1307
1,0,1,6,0,2,18,8,7,1,7,0,0,0,0,7,360,20690,0,0,0,2,3,112,4410,2,2,0,1,1,67,4489,1,24,576,3,3,47,829,0,5,5,0,5,0,0,0,0,4,179,8899,1,33,1089,11,0,0,0,2,2,0,6,6,327,19601,6,112,2966,1,1,2,4
-1,1,0,0,0,3,30,13,13,0,13,0,0,0,0,13,528,24424,2,37,685,8,1,18,324,2,1,1,2,2,114,6626,2,30,482,3,3,109,4565,2,10,10,0,5,0,0,0,0,5,169,7635,5,139,4137,10,1,38,1444,2,2,0,7,7,351,18843,7,140,3796,6,6,99,2671
1,0,1,7,0,2,14,6,5,1,5,0,0,0,0,5,159,5167,0,0,0,1,2,75,2925,2,1,1,2,2,140,9872,2,27,449,2,2,50,1252,0,5,5,0,5,0,0,0,0,4,215,12797,3,88,2634,11,0,0,0,2,2,0,2,2,71,2533,2,10,82,3,3,24,314
1,0,1,3,0,2,18,9,8,1,8,0,0,0,0,8,368,18574,1,38,1444,5,2,77,3077,2,2,0,1,1,74,5476,1,31,961,3,3,57,1499,1,6,6,0,5,0,0,0,0,4,189,9997,3,96,3368,11,0,0,0,2,2,0,5,5,272,15206,5,90,2318,3,3,50,1022
1,0,0,4,0,2,15,9,8,1,8,0,0,0,0,8,351,17143,1,20,400,4,0,0,0,3,2,1,3,3,159,8613,3,28,346,1,1,22,484,1,6,6,0,5,0,0,0,0,4,179,9013,3,109,4177,11,1,33,1089,2,2,0,4,4,209,11877,4,79,2199,4,4,67,2089
1,0,1,3,0,2,19,10,9,1,9,0,0,0,0,9,334,14232,2,47,1105,5,3,101,3809,2,2,0,1,1,44,1936,1,5,25,5,5,110,2658,2,7,7,0,7,0,0,0,0,6,192,6850,5,137,4061,11,0,0,0,2,2,0,4,4,197,10171,4,58,1086,5,5,76,1996
-1,3,0,0,0,3,26,12,12,0,12,0,0,0,0,12,423,17439,2,38,740,8,3,128,5800,3,2,1,0,0,0,0,0,0,0,5,5,84,1688,2,10,10,0,5,0,0,0,0,5,166,6540,7,201,6293,8,2,78,3284,2,2,0,3,3,144,7862,3,50,1342,9,9,70,822
